Incident Date,ID,District,Bias Code,Bias Code2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects less than 18 years old,# Suspects 18-35 years old,# Suspects 36-45 years old,# Suspects 46-55 years old,# Suspects >55 years old,Unknown
10/30/2016,16055886,2D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
03/28/2016,16014662,6D,21 - Anti-Jewish,43 - Anti-Homosexual,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
02/11/2019,190006643,2D,12 - Anti-Black,,Other,N/A,,Business/ Financial Institution,,,,,,,X
02/07/2017,17006589,RCPD,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
12/31/2016,16067112,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,,Other,,,,,,,X
06/14/2016,16030098,4D,14 - Anti-Asian,,Verbal Intimidation,N/A,2,Individual(s),2,,,,,2,
09/02/2017,170528411,6D,12 - Anti-Black,,Intimidation,OPEN,1,Individual(s),3,3,,,,,
02/05/2019,190005702,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,
06/18/2017,170514643,4D,12 - Anti-Black,,Intimidation,N/A,,Society,,,,,,,X
08/22/2017,170526290,3D,24 - Anti-Islamic,,Verbal Intimidation,UNF,1,Individual(s),1,,1,,,,
04/26/2016,16020631,2D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),1,,,,1,,
05/29/2017,170510517,TPPD,22 - Anti-Catholic,,Vandalism,OPEN,,School/College,,,,,,,X
09/04/2016,16045255,3D,21 - Anti-Jewish,,Vandalism,OPEN,1,Individual(s),,,,,,,X
07/15/2016,16035647,2D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),1,,,,1,,
09/05/2017,170528788,2D,21 - Anti-Jewish,,Flyer left behind,N/A,1,Individual(s),,,,,,,X
06/13/2017,170513374,4D,12 - Anti-Black,,Vandalism,OPEN,,School/College,1,1,,,,,
02/14/2017,17008045,RCPD,12 - Anti-Black,,Vandalism,OPEN,,School/College,,,,,,,X
01/15/2016,16002798,5D,71 - Anti-Transgender,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
03/25/2017,17015199,4D,32 - Anti-Hispanic,,Verbal Intimidation,N/A,,Society,1,,,,,1,
05/26/2016,16026270,TPPD,11 - Anti-white,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
07/24/2017,170520886,RCPD,12 - Anti-Black,,Intimidation,N/A,,School/College,4,4,,,,,
08/13/2017,170524634,1D,24 - Anti-Islamic,,Assault (physical),OPEN,2,Individual(s),,,,,,,X
06/01/2017,170511135,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,
10/19/2017,170537609,6D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),1,,1,,,,
10/16/2017,170537332,1D,12 - Anti-Black,,Intimidation,RTOJ,,Government,,,,,,,X
06/02/2017,170512466,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
08/20/2017,170526017,4D,43 - Anti-Homosexual,,Vandalism,INACTIVE,2,Individual(s),,,,,,,X
11/23/2016,16060360,4D,32 - Anti-Hispanic,,Assault (physical),INACTIVE,3,Individual(s),,,,,,,X
02/08/2019,190006227,RCPD,21 - Anti-Jewish,12 - Anti-Black,Vandalism,OPEN,,Society,,,,,,,X
12/16/2017,170548977,2D,12 - Anti-Black,,Verbal Intimidation,OPEN,1,Individual(s),1,,,,1,,
07/20/2017,170520131,4D,12 - Anti-Black,,Verbal Intimidation,UNF,2,Individual(s),1,,1,,,,
11/30/2017,170545799,5D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
02/07/2019,190006264,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
12/21/2016,16065398,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,4,4,,,,,
05/19/2016,16024967,3D,21 - Anti-Jewish,,Flyer left behind,OPEN,2,Individual(s),,,,,,,X
06/15/2017,170513786,3D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
04/16/2016,16018523,2D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),,,,,,,X
06/28/2017,170516376,GCPD,12 - Anti-Black,,Vandalism,INACTIVE,3,Individual(s),,,,,,,X
07/15/2017,170519264,2D,43 - Anti-Homosexual,,Other,OPEN,,Religious Organization,,,,,,,X
04/14/2017,170502163,1D,43 - Anti-Homosexual,,Assault (physical),UNF,2,Individual(s),1,,1,,,,
